node_loss: 0.054005030542612076, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.4950
node_loss: 0.05277908593416214, edge_loss: 1.3867, edge_weight_loss: 0.8652, cosine_similarity: 0.5037
node_loss: 0.050935450941324234, edge_loss: 1.3867, edge_weight_loss: 0.8653, cosine_similarity: 0.5091
node_loss: 0.04783318564295769, edge_loss: 1.3867, edge_weight_loss: 0.8653, cosine_similarity: 0.5197
node_loss: 0.04625731334090233, edge_loss: 1.3868, edge_weight_loss: 0.8653, cosine_similarity: 0.5296
node_loss: 0.046506986021995544, edge_loss: 1.3867, edge_weight_loss: 0.8652, cosine_similarity: 0.5272
node_loss: 0.04346814006567001, edge_loss: 1.3867, edge_weight_loss: 0.8652, cosine_similarity: 0.5458
Epoch 1/10, Train Loss: 4.8333, Train Cosine Similarity: 0.2999
Epoch 1/10, Validation Loss: 1.4296, Validation Cosine Similarity: 0.5484
node_loss: 0.04274183139204979, edge_loss: 1.3867, edge_weight_loss: 0.8652, cosine_similarity: 0.5538
node_loss: 0.04066721349954605, edge_loss: 1.3866, edge_weight_loss: 0.8652, cosine_similarity: 0.5581
node_loss: 0.041276801377534866, edge_loss: 1.3866, edge_weight_loss: 0.8652, cosine_similarity: 0.5605
node_loss: 0.03902839496731758, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.5747
node_loss: 0.037366025149822235, edge_loss: 1.3866, edge_weight_loss: 0.8652, cosine_similarity: 0.5767
node_loss: 0.03717764467000961, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.5795
node_loss: 0.034542858600616455, edge_loss: 1.3866, edge_weight_loss: 0.8652, cosine_similarity: 0.5959
node_loss: 0.03339909762144089, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.6050
node_loss: 0.03343942388892174, edge_loss: 1.3867, edge_weight_loss: 0.8652, cosine_similarity: 0.6140
node_loss: 0.03242729231715202, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.6115
node_loss: 0.030886204913258553, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.6272
node_loss: 0.030604692175984383, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.6299
node_loss: 0.02854658104479313, edge_loss: 1.3867, edge_weight_loss: 0.8652, cosine_similarity: 0.6402
node_loss: 0.028580261394381523, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.6394
node_loss: 0.029052406549453735, edge_loss: 1.3863, edge_weight_loss: 0.8652, cosine_similarity: 0.6452
node_loss: 0.02543759159743786, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.6622
node_loss: 0.02496294490993023, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.6696
node_loss: 0.02536984160542488, edge_loss: 1.3864, edge_weight_loss: 0.8652, cosine_similarity: 0.6719
node_loss: 0.024790078401565552, edge_loss: 1.3865, edge_weight_loss: 0.8652, cosine_similarity: 0.6754
